Sample,C46-GDGT,brGDGT_IIIa_0,brGDGT_IIIa_1,brGDGT_IIIa_2,brGDGT_IIIb,brGDGT_IIIc,brGDGT_IIa_0,brGDGT_IIa_1,brGDGT_IIb,brGDGT_IIc,brGDGT_Ia,brGDGT_Ib,brGDGT_Ic
AEGIS-111,5130563.0077396035,104717.46965564601,1798.5110646135095,1350.433342306025,1451.247749154737,927.6378102372498,955170.3345884137,18649.234573563295,57461.9411736544,22358.994767496315,1793780.7959874952,110377.6839858046,39536.60559414181
AEGIS-112,4701360.000756935,158754.67013923303,7125.9232464353845,3541.572730128862,1575.2339980858912,1469.4894704069754,1719666.6955934719,22607.926478876034,67270.1098994828,29892.788687272172,2821462.9623806607,117435.64529548783,46066.45206377788
AEGIS-113,4923133.205622815,185770.6678338328,8214.202874960496,4467.860714020524,2538.4058632361916,1069.3620355844891,2037582.1227450543,50305.345114886826,159096.7683462031,70867.94800593761,3115818.3515654677,267492.3308605268,84991.91131991318
AEGIS-115,3752129.825203981,433350.784074747,18797.087171680683,9189.954657497256,6113.702761229145,2139.7831435393546,3172398.1167649077,89997.91657811853,272035.3275751285,112116.09069511821,5108553.153866614,328149.06058650534,101879.90036935893
AEGIS-116,3784677.167869473,721284.9851252266,31123.627920250306,11773.107305086278,6290.119178125211,2725.858857757664,3672775.7598543377,80497.21248981003,219836.0730772278,103027.75133680731,5291543.260233559,304848.59168706014,101674.47514153941
AEGIS-118,4785690.726556106,821961.773166428,80035.74182201707,16314.001889510986,17795.307652178308,8017.110192571045,6067297.192399301,201037.82222681216,603605.2265368401,284367.91125723935,7099922.828222174,732592.7862997175,251144.98341280958
AEGIS-119,5116573.563260806,684378.2429750771,68086.97353644861,13759.27859705927,29837.30720930862,9651.841209312886,6517295.257308636,243281.94084013606,722344.492974235,297038.48039687995,7773161.254527961,571554.7771407204,169130.62178576188
AEGIS-120,4629726.659181373,634484.5330730717,53239.55061360998,12582.346242578604,28798.77896339929,12011.135370963788,4727476.186372051,202861.66740159807,680093.6575373377,298198.4485037122,6527378.313645886,495429.37650145334,173413.83735421323
AEGIS-122,4901450.383390343,679124.5308589607,26220.740199743745,11588.504422747388,9986.121830711847,5139.411972748405,5767946.112522914,151890.632008095,472191.0222323406,230446.21729596425,8140220.655043717,437203.83857949637,148330.81908453177
AEGIS-123,4896073.305674308,790085.0340450217,15540.296239249541,11494.418240182089,7271.413233635091,4465.171865799343,4476549.473046609,81515.51808216402,262967.44720552233,141332.23355927516,5171883.283092135,230123.60497053075,80779.29128725134
AEGIS-124,3404294.99055953,835580.944189831,53324.25669210796,64978.36900991155,7133.611666157459,1881.1662674856163,3449622.343356152,82404.55010167761,161866.62728013925,106922.02632129824,3416912.8779791123,177898.151020887,80773.99108203247
AEGIS-125,5363886.059655383,878245.6571030375,46751.72331134315,44663.67732563342,8653.78423501241,4534.845207288788,4758053.251819237,126364.5196465719,323404.50604430767,221445.17334121707,6548281.616353746,284806.6568432337,118419.53818741573
AEGIS-127,4629747.569335852,1228436.918132482,58144.557246881726,70799.72932296603,8420.421307626031,5671.206685626195,5673604.389145646,125576.54075665995,264932.6209952389,184282.05358093232,6279626.944166927,289599.1080101068,139228.853819311
AEGIS-128,4221859.561610887,1244906.4209042473,67829.37609637437,42346.036144349644,10092.592031208369,6904.6572106652675,6973041.773993167,193942.01635560617,430699.88235849,272486.485589931,11204953.969468461,459282.0359539332,186560.494899763
AEGIS-129,4393122.234355445,1382405.4007923675,59996.98150869029,29939.723808231913,8512.032415070158,5385.7068815804605,6265407.023321918,155883.1273937935,351011.2635744318,234195.4694979338,9904772.232240858,404419.578120619,173732.49656462454
AEGIS-130,3562529.590816427,1048527.2909438451,55416.009345142076,38548.15610877066,7299.785199581545,4455.026797161757,5235667.695188291,117359.87237351765,257153.08240104205,186447.52773124012,6824208.264821363,278604.7384793065,135028.70168724554
AEGIS-132,8302704.892060477,2694133.8900339967,145875.57053293946,186660.38214645348,86889.2993577532,123854.17418057757,15486326.330305578,916934.0251050001,2695727.9046933455,2398912.1145629133,21431469.217803065,2019302.4359068854,1039860.4116760923
AEGIS-133,5084231.794402499,194667.2144384449,54877.20620908319,42450.19335677154,12249.160021424197,9515.770413809878,1534451.7683933922,113431.17027336573,349000.1788382621,393115.9527811552,2210896.949458493,335684.843895584,183825.2603028061
AEGIS-134,7051237.533433768,2379547.691270357,162960.55392282372,128700.09261116963,68872.80355838612,88723.50463456717,11770141.899336057,654652.4113138065,2019833.1560036102,1780667.368672225,16498446.651766796,2682368.5358556374,1074184.8773807655
AEGIS-135,8532479.464578401,279221.78084741253,41738.36690784524,32943.79388991342,10784.559152888007,12053.14954237633,2053879.2390799092,96300.73361739352,276664.00697981747,289778.10438490496,2882556.2463054936,466874.11138574616,155251.94498068
AEGIS-136,11017703.04058491,2540030.811440396,155894.4450491838,141368.95358211393,47053.37673226361,73783.92300680019,10090069.18590242,400196.67693752376,1217920.3128667502,1080242.3147362287,10716571.974416206,1507281.525458008,605809.8840307577
AEGIS-137,7069448.961515477,1631983.6132132965,93935.05379046567,100043.05165706383,39201.352277977,64700.85154577801,7461519.309450097,321701.99796067056,1002377.4286292188,901782.304247946,9528275.377380313,1684027.8189299053,508171.29277839704
AEGIS-138,7424717.281954319,4728367.5592172,271585.55627713725,289824.49613360025,91739.33086105454,131449.5672092487,17061102.64024501,781937.351666373,2284882.8278549076,1849624.04026592,17474212.399546538,2299540.309202829,929496.9548760218
AEGIS-139,6413678.275241937,2456512.9753076797,110063.58317256637,180031.34190866785,91443.67352472674,176984.67383561787,12664756.705439283,554311.4336090889,1750051.4370277126,2082142.9138194083,13511613.30594259,723612.7956454732,423897.2292724555
AEGIS-140,6712311.991932683,1603422.472546019,94168.73913446751,95852.15364734264,36336.47272060159,69875.85317527656,6521857.256971749,255757.40810761403,808908.3301636281,787644.4768408363,6294397.221658719,755997.0708518622,297729.7872346395
AEGIS-142,5892636.7056745095,397867.81579548336,42152.09446636982,50632.67927117607,11391.598538998584,16051.20337386978,2236957.978095949,82524.14720118485,227891.35705455003,241517.2822380615,2497289.300986759,818025.3437617009,124116.81278555331
AEGIS-143,6235981.823880282,1922036.0299477382,103954.20288059392,119218.57434747259,43918.068270487485,64160.69375618718,8653802.777579118,308346.10800551565,970314.8625267667,837804.0941475234,8589421.373678884,884612.5533481848,329883.65821135906
AEGIS-144,5431256.079119023,954644.4709652176,55050.81747558233,67179.47364276504,19158.77078146439,30844.2060318398,4772942.382433351,153008.33562975217,465349.327658365,419555.8992917764,4956797.770731126,579754.1630965272,187892.46575517082
AEGIS-145,5383928.499613708,3054404.896197918,197251.7356580367,158189.84560522804,50683.73379296153,97275.76125671584,13184078.916182302,468187.3720426845,1441200.514793778,1368059.6372784036,12658637.270376,1115114.9951741034,485957.52491085674
AEGIS-146,5311269.753053657,2803428.5847224323,157203.32081930726,149457.20152040524,44498.59491683592,78325.6234155208,11367685.480911603,390151.9973205722,1184601.7593351637,1000466.4753677301,10820789.590792237,1220195.7080610027,438025.9293728403
AEGIS-147,5355285.795671919,1730335.2672865181,138461.5295538705,101026.66350229048,44445.9084121867,86324.03091174318,9646753.199783232,368632.35298211884,1217659.595376606,1215280.3431218853,10325890.75015757,942851.8315884419,409677.9876777853
AEGIS-148,4811985.177544555,1546129.6206291202,110943.80774230795,92875.13940102764,34796.10418194668,73859.86875234418,8953031.175465798,324779.41944955767,1057291.8135046447,1075173.2984204332,9127859.340452287,682688.9734812226,339127.4420086576
AEGIS-149,2010479.023354553,4384188.425738574,292891.39659214386,265045.5541026759,79704.56118271388,104173.7893695771,17549333.804979566,702272.3261215267,1997010.8866828065,1480041.4011881326,15976834.245613454,1127178.6939733524,491961.50679021823
AEGIS-150,1914072.8165274234,5658504.249301474,361108.2459247379,444913.1790623835,101845.13755038106,108880.1050295998,24997061.005778704,1151679.6032897723,3170410.7768335715,1928181.728441231,24912628.14999459,3382227.4259931017,1246435.1881592781
AEGIS-151,1842214.3077158937,4393016.3780491585,212552.6742678793,260758.3969959411,99311.97463580863,171954.56289265692,21188204.02526251,965913.58994656,2896632.1773721143,2124606.838860461,24131010.417925008,2536569.756575365,954276.0445364541
AEGIS-152,1599645.522640684,1931986.9283954964,175561.3198141556,154349.58530289485,47505.357610556006,85721.33860315962,10869038.110800795,434711.8430043112,1336833.0833550121,1280339.4298462805,12002879.634993233,1313374.7849584622,600346.021713316
AEGIS-153,1447882.4032511772,3928803.511896093,366047.2016650641,334861.4984670957,91488.09821127357,218511.0562717518,14970894.511026409,709756.8958485837,1985127.7077040079,1749745.9898798594,14238415.67773832,1171414.4160476895,477927.94437641493
AEGIS-154,1549504.5627513747,2654010.698493804,253074.70755662018,222204.58388842084,58255.36809692095,131805.1635680654,10585964.112089533,468986.805651379,1308536.237793197,1137338.0518222412,10495442.260814348,825941.0427530615,322460.119101189
AEGIS-155,1246218.6094925725,1685255.102054641,174087.5663810205,149744.57237989423,41253.38903952769,94418.44129719996,7356051.045769361,324714.8541797434,946667.2246127917,844540.4140874123,7988508.104244022,503977.18999259395,209148.29451639144
AEGIS-156,1170718.2061771317,1509443.65892539,162305.21550452808,147502.17091127616,39577.69873507192,84382.10415273266,7218183.095965952,292806.81293762196,843131.462825072,778433.6791170812,8201647.654270082,500264.6601568888,196609.41624978927
AEGIS-157,982175.810994653,1713638.435509725,207874.18185657606,152856.5045873422,41599.03431651638,96718.01280422712,7215932.661228305,328956.2446700191,955062.7924413425,851158.8878190325,7420944.880307489,458978.95687981625,171160.38199693587
AEGIS-158,1553204.3497398838,1679683.284905678,128392.91445051113,134282.7119940095,47120.26578164197,84892.74515706926,6171842.678721467,313983.1997977136,828523.5245686106,671605.392225943,6543609.064107926,278902.8915757067,111911.68844221203
AEGIS-159,1002156.644261147,1379805.123492937,158283.97113989547,119997.25296988316,36502.32600294267,77487.79540644381,6086250.662877286,280311.8046356608,822978.7707803601,693126.9547892644,6166495.467562864,337808.4106587484,129811.0546165459
AEGIS-160,969365.234347009,731194.8408360151,101373.4045669101,22757.841569573036,18822.1491621822,36351.66563166939,3265777.389443528,128323.30518881546,349902.2760445757,313616.9575939598,3570923.985808968,174487.10542374154,69506.8142812834
AEGIS-161,1025727.6913646511,2003771.4472364555,197550.04312653304,95723.74645447296,31594.728549372965,42882.95263595641,8427022.408501443,311645.4402114633,953638.8793875214,652386.633856739,7695308.733023068,343363.1484032153,152652.18029154625
AEGIS-162,938083.3744464865,2584347.9094268186,350311.7541177336,139731.1056684664,54129.62851916684,100853.79151102186,12947419.486112772,476383.28901998274,1422389.9359907012,1197440.2340124287,12305097.665286513,813457.2527198205,382067.9100007456
AEGIS-164,5454615.767235891,444343.0033956477,98867.96497851684,125727.04876768551,12753.140490929787,19051.56249778495,2281021.771201092,116880.18915538595,259721.5686840433,264305.8915556076,2347559.1333977343,143931.0800747422,58167.73028724597
